Ranking,Escola,Total_Alunos,Aprovados_Total,Taxa_Aprovacao_%,Percentual_do_Total_Geral,Reprovados
1,DOLORES BELEM NOVAES,26,10,38.46,5.49,16
2,DOLORES MARTINS DE CASTRO,9,3,33.33,1.65,6
3,YOLANDA LUIZ SICHIERI,148,36,24.32,19.78,112
4,ANTONIO FURLAN JUNIOR,34,8,23.53,4.4,26
5,BASILIO RODRIGUES DA SILVA,97,20,20.62,10.99,77
7,NESTOR GOMES DE ARAUJO,73,12,16.44,6.59,61
6,WINSTON CHURCHILL,107,19,17.76,10.44,88
8,MARIA CONCEICAO R. S. MAGON,38,6,15.79,3.3,32
9,MARIA FALCONI DE FELICIO,27,3,11.11,1.65,24
10,DOMINGOS PARO,33,3,9.09,1.65,30
11,MARIA ELYDE M. DOS SANTOS,63,5,7.94,2.75,58
12,MAURICIO MONTECCHI,123,7,5.69,3.85,116
13,ORMINDA GUIMARAES COTRIM,126,6,4.76,3.3,120
14,JOSE LUIZ DE SIQUEIRA,175,8,4.57,4.4,167
15,BRUNO PIERONI,188,10,5.32,5.49,178
16,LUIZ MARCARI,134,5,3.73,2.75,129
17,NICIA FABIOLA ZANUTO GIRALDI,57,2,3.51,1.1,55
18,FERRUCIO CHIARATTI,123,4,3.25,2.2,119
19,EDITH SILVEIRA DALMASO,156,5,3.21,2.75,151
20,ISAIAS JOSE FERREIRA,65,2,3.08,1.1,63
21,ANNA PASSAMONTI BALARDIN,201,5,2.49,2.75,196
22,MARIO LINS,35,1,2.86,0.55,34
23,PLINIO BERARDO,227,4,1.76,2.2,223
24,ODULFO DE OLIVEIRA GUIMARAES,91,1,1.1,0.55,90
25,ADELIA FRASCINO,2,0,0.0,0.0,2
